iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
83	0.05	0.05	0.559673	0.0195806	-447.489	2.67416e-08
84	0.05	0.05	0.559673	0.0195806	-447.489	3.67559e-22
85	0.05	0.05	0.559673	0.0195806	-447.489	4.45593e-12
86	0.05	0.05	0.559673	0.0195806	-447.489	4.12239e-35
87	0.05	0.05	0.559673	0.0195806	-447.489	2.46402e-09
88	0.05	0.05	0.559673	0.0195806	-447.489	1.77528e-11
89	0.05	0.05	0.559673	0.0195806	-447.489	2.44063e-10
90	0.05	0.05	0.559673	0.0195806	-447.489	3.28626e-09
91	0.05	0.05	0.559673	0.0195806	-447.489	3.51177e-32
92	0.05	0.05	0.559673	0.0195806	-447.489	3.79625e-07
93	0.05	0.05	0.559673	0.0195806	-447.489	1.96507e-13
94	0.05	0.05	0.559673	0.0195806	-447.489	5.9391e-28
95	0.05	0.05	0.559673	0.0195806	-447.489	1.11738e-05
96	0.05	0.05	0.559673	0.0195806	-447.489	4.57602e-11
97	0.05	0.05	0.559673	0.0195806	-447.489	3.34813e-25
98	0.05	0.05	0.559673	0.0195806	-447.489	0.000131216
99	0.05	0.05	0.559673	0.0195806	-447.489	2.0392e-09
100	0.05	0.05	0.559673	0.0195806	-447.489	1.09884e-12
101	0.05	0.05	0.559673	0.0195806	-447.489	1.30531e-14
102	0.05	0.05	0.559673	0.0195806	-447.489	1.23341e-12
103	0.05	0.05	0.559673	0.0195806	-447.489	2.08405e-13
104	0.05	0.05	0.559673	0.0195806	-447.489	1.01889e-10
105	0.05	0.05	0.559673	0.0195806	-447.489	9.19023e-27
106	0.05	0.05	0.559673	0.0195806	-447.489	5.92792e-06
107	0.05	0.05	0.559673	0.0195806	-447.489	6.89718e-20
108	0.05	0.05	0.559673	0.0195806	-447.489	2.08681e-16
109	0.05	0.05	0.559673	0.0195806	-447.489	2.27205e-15
110	0.05	0.05	0.559673	0.0195806	-447.489	4.42636e-07
111	0.05	0.05	0.559673	0.0195806	-447.489	1.64122e-33
112	0.05	0.05	0.559673	0.0195806	-447.489	1.78032e-35
113	0.05	0.05	0.559673	0.0195806	-447.489	2.67647e-09
114	0.05	0.05	0.559673	0.0195806	-447.489	2.27087e-08
115	0.05	0.05	0.559673	0.0195806	-447.489	1.49866e-18
116	0.05	0.05	0.559673	0.0195806	-447.489	3.2166e-06
117	0.05	0.05	0.559673	0.0195806	-447.489	2.47915e-06
118	0.05	0.05	0.559673	0.0195806	-447.489	2.30419e-08
119	0.05	0.05	0.559673	0.0195806	-447.489	5.12473e-22
120	0.05	0.05	0.559673	0.0195806	-447.489	5.37738e-17
121	0.05	0.05	0.559673	0.0195806	-447.489	2.82689e-11
122	0.05	0.05	0.559673	0.0195806	-447.489	2.15516e-10
123	0.05	0.05	0.559673	0.0195806	-447.489	0.000287781
124	0.05	0.05	0.559673	0.0195806	-447.489	1.60276e-17
125	0.05	0.05	0.559673	0.0195806	-447.489	3.86129e-13
126	0.05	0.05	0.559673	0.0195806	-447.489	9.42118e-11
127	0.05	0.05	0.559673	0.0195806	-447.489	2.22209e-14
128	0.05	0.05	0.559673	0.0195806	-447.489	2.1632e-13
129	0.05	0.05	0.559673	0.0195806	-447.489	9.10879e-13
130	0.05	0.05	0.559673	0.0195806	-447.489	2.42466e-10
131	0.05	0.05	0.559673	0.0195806	-447.489	3.79497e-09
132	0.05	0.05	0.559673	0.0195806	-447.489	6.74285e-15
133	0.05	0.05	0.559673	0.0195806	-447.489	4.80638e-09
134	0.05	0.05	0.559673	0.0195806	-447.489	5.69422e-17
135	0.05	0.05	0.559673	0.0195806	-447.489	4.79212e-28
136	0.05	0.05	0.559673	0.0195806	-447.489	2.64268e-33
137	0.05	0.05	0.559673	0.0195806	-447.489	1.00473e-08
138	0.05	0.05	0.559673	0.0195806	-447.489	6.45138e-32
139	0.05	0.05	0.559673	0.0195806	-447.489	4.29729e-34
140	0.05	0.05	0.559673	0.0195806	-447.489	5.30967e-08
141	0.05	0.05	0.559673	0.0195806	-447.489	8.27361e-20
142	0.05	0.05	0.559673	0.0195806	-447.489	1.80978e-14
143	0.05	0.05	0.559673	0.0195806	-447.489	1.08842e-05
144	0.05	0.05	0.559673	0.0195806	-447.489	3.36314e-27
145	0.05	0.05	0.559673	0.0195806	-447.489	0.000351679
146	0.05	0.05	0.559673	0.0195806	-447.489	3.49732e-06
147	0.05	0.05	0.559673	0.0195806	-447.489	2.15592e-06
148	0.05	0.05	0.559673	0.0195806	-447.489	2.96905e-34
149	0.05	0.05	0.559673	0.0195806	-447.489	9.30877e-19
150	0.05	0.05	0.559673	0.0195806	-447.489	5.95173e-17
151	0.05	0.05	0.559673	0.0195806	-447.489	5.62824e-09
152	0.05	0.05	0.559673	0.0195806	-447.489	1.28342e-10
153	0.05	0.05	0.559673	0.0195806	-447.489	1.93928e-20
154	0.05	0.05	0.559673	0.0195806	-447.489	2.28449e-18
155	0.05	0.05	0.559673	0.0195806	-447.489	5.33356e-06
156	0.05	0.05	0.559673	0.0195806	-447.489	7.00629e-14
157	0.05	0.05	0.559673	0.0195806	-447.489	8.28511e-19
158	0.05	0.05	0.559673	0.0195806	-447.489	4.33182e-13
159	0.05	0.05	0.559673	0.0195806	-447.489	1.10767e-08
160	0.05	0.05	0.559673	0.0195806	-447.489	3.63289e-28
161	0.05	0.05	0.559673	0.0195806	-447.489	3.41572e-10
162	0.05	0.05	0.559673	0.0195806	-447.489	4.7162e-34
163	0.05	0.05	0.559673	0.0195806	-447.489	1.94632e-16
164	0.05	0.05	0.559673	0.0195806	-447.489	8.57909e-15
165	0.05	0.05	0.559673	0.0195806	-447.489	2.87667e-16
166	0.05	0.05	0.559673	0.0195806	-447.489	2.0444e-12
167	0.05	0.05	0.559673	0.0195806	-447.489	3.18911e-08
168	0.05	0.05	0.559673	0.0195806	-447.489	2.31453e-12
169	0.05	0.05	0.559673	0.0195806	-447.489	1.13509e-10
170	0.05	0.05	0.559673	0.0195806	-447.489	1.43075e-11
171	0.05	0.05	0.559673	0.0195806	-447.489	5.43934e-15
172	0.05	0.05	0.559673	0.0195806	-447.489	2.45669e-29
173	0.05	0.05	0.559673	0.0195806	-447.489	2.61512e-26
174	0.05	0.05	0.559673	0.0195806	-447.489	3.58147e-29
175	0.05	0.05	0.559673	0.0195806	-447.489	3.80123e-06
176	0.05	0.05	0.559673	0.0195806	-447.489	2.16038e-12
177	0.05	0.05	0.559673	0.0195806	-447.489	2.25436e-31
178	0.05	0.05	0.559673	0.0195806	-447.489	1.73498e-12
179	0.05	0.05	0.559673	0.0195806	-447.489	5.411e-10
180	0.05	0.05	0.559673	0.0195806	-447.489	1.57526e-09
181	0.05	0.05	0.559673	0.0195806	-447.489	2.8081e-09
182	0.05	0.05	0.559673	0.0195806	-447.489	2.74814e-19
183	0.05	0.05	0.559673	0.0195806	-447.489	7.69449e-16
184	0.05	0.05	0.559673	0.0195806	-447.489	1.32955e-26
185	0.05	0.05	0.559673	0.0195806	-447.489	1.99151e-10
186	0.05	0.05	0.559673	0.0195806	-447.489	3.73802e-27
187	0.05	0.05	0.559673	0.0195806	-447.489	1.91188e-06
188	0.05	0.05	0.559673	0.0195806	-447.489	7.21665e-07
189	0.05	0.05	0.559673	0.0195806	-447.489	4.33069e-24
190	0.05	0.05	0.559673	0.0195806	-447.489	9.64846e-06
191	0.05	0.05	0.559673	0.0195806	-447.489	4.4484e-29
192	0.05	0.05	0.559673	0.0195806	-447.489	4.38431e-18
193	0.05	0.05	0.559673	0.0195806	-447.489	3.01242e-17
194	0.05	0.05	0.559673	0.0195806	-447.489	1.46053e-12
195	0.05	0.05	0.559673	0.0195806	-447.489	3.91579e-19
196	0.05	0.05	0.559673	0.0195806	-447.489	2.87135e-24
197	0.05	0.05	0.559673	0.0195806	-447.489	4.58849e-28
198	0.05	0.05	0.559673	0.0195806	-447.489	1.50409e-18
199	0.05	0.05	0.559673	0.0195806	-447.489	1.27224e-22
200	0.05	0.05	0.559673	0.0195806	-447.489	1.36794e-21
201	0.05	0.05	0.559673	0.0195806	-447.489	5.09517e-13
202	0.05	0.05	0.559673	0.0195806	-447.489	1.62702e-17
203	0.05	0.05	0.559673	0.0195806	-447.489	2.73825e-10
204	0.05	0.05	0.559673	0.0195806	-447.489	3.22557e-10
205	0.05	0.05	0.559673	0.0195806	-447.489	3.46837e-19
206	0.05	0.05	0.559673	0.0195806	-447.489	5.70835e-09
207	0.05	0.05	0.559673	0.0195806	-447.489	4.99402e-09
208	0.05	0.05	0.559673	0.0195806	-447.489	3.77349e-11
209	0.05	0.05	0.559673	0.0195806	-447.489	8.18993e-31
210	0.05	0.05	0.559673	0.0195806	-447.489	8.46635e-16
211	0.05	0.05	0.559673	0.0195806	-447.489	0.000625251
212	0.05	0.05	0.559673	0.0195806	-447.489	8.91834e-27
213	0.05	0.05	0.559673	0.0195806	-447.489	1.04139e-12
214	0.05	0.05	0.559673	0.0195806	-447.489	1.03578e-20
215	0.05	0.05	0.559673	0.0195806	-447.489	3.28567e-15
216	0.05	0.05	0.559673	0.0195806	-447.489	1.97727e-13
217	0.05	0.05	0.559673	0.0195806	-447.489	1.84798e-20
218	0.05	0.05	0.559673	0.0195806	-447.489	1.05733e-23
219	0.05	0.05	0.559673	0.0195806	-447.489	9.04801e-11
220	0.05	0.05	0.559673	0.0195806	-447.489	1.21627e-19
221	0.05	0.05	0.559673	0.0195806	-447.489	7.15095e-08
222	0.05	0.05	0.559673	0.0195806	-447.489	3.4399e-12
223	0.05	0.05	0.559673	0.0195806	-447.489	2.10225e-11
224	0.05	0.05	0.559673	0.0195806	-447.489	9.70014e-08
225	0.05	0.05	0.559673	0.0195806	-447.489	8.27876e-07
226	0.05	0.05	0.559673	0.0195806	-447.489	6.03582e-10
227	0.05	0.05	0.559673	0.0195806	-447.489	0.000100631
228	0.05	0.05	0.559673	0.0195806	-447.489	3.40479e-16
229	0.05	0.05	0.559673	0.0195806	-447.489	1.43336e-19
230	0.05	0.05	0.559673	0.0195806	-447.489	3.50698e-17
231	0.05	0.05	0.559673	0.0195806	-447.489	7.70937e-15
232	0.05	0.05	0.559673	0.0195806	-447.489	3.70754e-24
233	0.05	0.05	0.559673	0.0195806	-447.489	5.519e-19
234	0.05	0.05	0.559673	0.0195806	-447.489	7.86394e-11
235	0.05	0.05	0.559673	0.0195806	-447.489	2.43971e-34
236	0.05	0.05	0.559673	0.0195806	-447.489	4.3864e-09
237	0.05	0.05	0.559673	0.0195806	-447.489	4.79142e-15
238	0.05	0.05	0.559673	0.0195806	-447.489	6.13729e-12
239	0.05	0.05	0.559673	0.0195806	-447.489	1.09465e-07
240	0.05	0.05	0.559673	0.0195806	-447.489	8.36512e-29
241	0.05	0.05	0.559673	0.0195806	-447.489	1.03294e-07
242	0.05	0.05	0.559673	0.0195806	-447.489	7.3265e-22
243	0.05	0.05	0.559673	0.0195806	-447.489	1.5051e-15
244	0.05	0.05	0.559673	0.0195806	-447.489	8.69786e-06
245	0.05	0.05	0.559673	0.0195806	-447.489	3.17792e-26
246	0.05	0.05	0.559673	0.0195806	-447.489	1.5834e-14
247	0.05	0.05	0.559673	0.0195806	-447.489	3.03685e-21
248	0.05	0.05	0.559673	0.0195806	-447.489	4.53044e-20
249	0.05	0.05	0.559673	0.0195806	-447.489	5.08243e-12
250	0.05	0.05	0.559673	0.0195806	-447.489	6.45014e-19
251	0.05	0.05	0.559673	0.0195806	-447.489	3.70851e-05
252	0.05	0.05	0.559673	0.0195806	-447.489	4.04852e-08
253	0.05	0.05	0.559673	0.0195806	-447.489	9.33832e-37
254	0.05	0.05	0.559673	0.0195806	-447.489	3.03086e-11
255	0.05	0.05	0.559673	0.0195806	-447.489	3.23163e-24
256	0.05	0.05	0.559673	0.0195806	-447.489	4.7372e-22
257	0.05	0.05	0.559673	0.0195806	-447.489	1.10195e-11
258	0.05	0.05	0.559673	0.0195806	-447.489	3.68394e-21
259	0.05	0.05	0.559673	0.0195806	-447.489	4.13375e-20
260	0.05	0.05	0.559673	0.0195806	-447.489	9.44411e-28
261	0.05	0.05	0.559673	0.0195806	-447.489	6.13492e-21
262	0.05	0.05	0.559673	0.0195806	-447.489	4.69341e-10
263	0.05	0.05	0.559673	0.0195806	-447.489	2.02274e-13
264	0.05	0.05	0.559673	0.0195806	-447.489	5.07296e-29
265	0.05	0.05	0.559673	0.0195806	-447.489	7.05283e-27
266	0.05	0.05	0.559673	0.0195806	-447.489	4.56969e-11
267	0.05	0.05	0.559673	0.0195806	-447.489	6.0155e-11
268	0.05	0.05	0.559673	0.0195806	-447.489	4.21359e-14
269	0.05	0.05	0.559673	0.0195806	-447.489	2.61306e-12
270	0.05	0.05	0.559673	0.0195806	-447.489	6.50564e-29
271	0.05	0.05	0.559673	0.0195806	-447.489	5.93088e-13
272	0.05	0.05	0.559673	0.0195806	-447.489	3.8991e-11
273	0.05	0.05	0.559673	0.0195806	-447.489	5.55443e-12
274	0.05	0.05	0.559673	0.0195806	-447.489	1.23144e-40
275	0.05	0.05	0.559673	0.0195806	-447.489	2.73821e-11
276	0.05	0.05	0.559673	0.0195806	-447.489	3.36517e-11
277	0.05	0.05	0.559673	0.0195806	-447.489	2.8418e-27
278	0.05	0.05	0.559673	0.0195806	-447.489	1.59667e-11
279	0.05	0.05	0.559673	0.0195806	-447.489	9.97045e-10
280	0.05	0.05	0.559673	0.0195806	-447.489	2.95446e-11
281	0.05	0.05	0.559673	0.0195806	-447.489	1.21869e-20
282	0.05	0.05	0.559673	0.0195806	-447.489	2.50966e-13
283	0.05	0.05	0.559673	0.0195806	-447.489	4.88819e-24
284	0.05	0.05	0.559673	0.0195806	-447.489	1.09867e-11
285	0.05	0.05	0.559673	0.0195806	-447.489	0.000283616
286	0.05	0.05	0.559673	0.0195806	-447.489	4.75656e-29
287	0.05	0.05	0.559673	0.0195806	-447.489	2.63895e-08
288	0.05	0.05	0.559673	0.0195806	-447.489	3.74401e-06
289	0.05	0.05	0.559673	0.0195806	-447.489	1.35976e-15
290	0.05	0.05	0.559673	0.0195806	-447.489	4.07098e-23
291	0.05	0.05	0.559673	0.0195806	-447.489	0.00770421
292	0.05	0.05	0.559673	0.0195806	-447.489	1.51763e-34
293	0.05	0.05	0.559673	0.0195806	-447.489	1.903e-30
294	0.05	0.05	0.559673	0.0195806	-447.489	3.31442e-05
295	0.05	0.05	0.559673	0.0195806	-447.489	7.68912e-34
296	0.05	0.05	0.559673	0.0195806	-447.489	3.2664e-35
297	0.05	0.05	0.559673	0.0195806	-447.489	2.83294e-15
298	0.05	0.05	0.559673	0.0195806	-447.489	2.38386e-12
299	0.05	0.05	0.559673	0.0195806	-447.489	5.16972e-25
300	0.05	0.05	0.559673	0.0195806	-447.489	3.28967e-15
301	0.05	0.05	0.559673	0.0195806	-447.489	5.7157e-08
302	0.05	0.05	0.559673	0.0195806	-447.489	2.97605e-09
303	0.05	0.05	0.559673	0.0195806	-447.489	5.51284e-08
304	0.05	0.05	0.559673	0.0195806	-447.489	9.48576e-22
305	0.05	0.05	0.559673	0.0195806	-447.489	3.35607e-13
306	0.05	0.05	0.559673	0.0195806	-447.489	6.69535e-08
307	0.05	0.05	0.559673	0.0195806	-447.489	9.06928e-10
308	0.05	0.05	0.559673	0.0195806	-447.489	2.10293e-05
309	0.05	0.05	0.559673	0.0195806	-447.489	2.51154e-05
310	0.05	0.05	0.559673	0.0195806	-447.489	2.63105e-19
311	0.05	0.05	0.559673	0.0195806	-447.489	1.31249e-05
312	0.05	0.05	0.559673	0.0195806	-447.489	9.84567e-05
313	0.05	0.05	0.559673	0.0195806	-447.489	2.83019e-10
314	0.05	0.05	0.559673	0.0195806	-447.489	3.51861e-10
315	0.05	0.05	0.559673	0.0195806	-447.489	8.23056e-12
316	0.05	0.05	0.559673	0.0195806	-447.489	7.36474e-34
317	0.05	0.05	0.559673	0.0195806	-447.489	5.26424e-12
318	0.05	0.05	0.559673	0.0195806	-447.489	4.45732e-13
319	0.05	0.05	0.559673	0.0195806	-447.489	0.000262311
320	0.05	0.05	0.559673	0.0195806	-447.489	1.21778e-20
321	0.05	0.05	0.559673	0.0195806	-447.489	1.20281e-11
322	0.05	0.05	0.559673	0.0195806	-447.489	2.23893e-20
323	0.05	0.05	0.559673	0.0195806	-447.489	3.59841e-06
324	0.05	0.05	0.559673	0.0195806	-447.489	2.96501e-20
325	0.05	0.05	0.559673	0.0195806	-447.489	7.97177e-23
326	0.05	0.05	0.559673	0.0195806	-447.489	1.0097e-11
327	0.05	0.05	0.559673	0.0195806	-447.489	1.56274e-25
328	0.05	0.05	0.559673	0.0195806	-447.489	6.58451e-05
329	0.05	0.05	0.559673	0.0195806	-447.489	2.55493e-29
330	0.05	0.05	0.559673	0.0195806	-447.489	8.85426e-10
331	0.05	0.05	0.559673	0.0195806	-447.489	8.48168e-06
332	0.05	0.05	0.559673	0.0195806	-447.489	4.0674e-05
333	0.05	0.05	0.559673	0.0195806	-447.489	1.3999e-14
334	0.05	0.05	0.559673	0.0195806	-447.489	2.01063e-08
335	0.05	0.05	0.559673	0.0195806	-447.489	5.61452e-21
336	0.05	0.05	0.559673	0.0195806	-447.489	1.72346e-35
337	0.05	0.05	0.559673	0.0195806	-447.489	1.20357e-25
338	0.05	0.05	0.559673	0.0195806	-447.489	1.10672e-25
339	0.05	0.05	0.559673	0.0195806	-447.489	3.6397e-09
340	0.05	0.05	0.559673	0.0195806	-447.489	6.64369e-09
341	0.05	0.05	0.559673	0.0195806	-447.489	2.22539e-38
342	0.05	0.05	0.559673	0.0195806	-447.489	5.61768e-27
343	0.05	0.05	0.559673	0.0195806	-447.489	8.3105e-16
344	0.05	0.05	0.559673	0.0195806	-447.489	3.75581e-05
345	0.05	0.05	0.559673	0.0195806	-447.489	1.16783e-09
346	0.05	0.05	0.559673	0.0195806	-447.489	7.33944e-13
347	0.05	0.05	0.559673	0.0195806	-447.489	1.72708e-16
348	0.05	0.05	0.559673	0.0195806	-447.489	3.62059e-24
349	0.05	0.05	0.559673	0.0195806	-447.489	0.00453338
350	0.05	0.05	0.559673	0.0195806	-447.489	2.2756e-14
351	0.05	0.05	0.559673	0.0195806	-447.489	2.36479e-17
352	0.05	0.05	0.559673	0.0195806	-447.489	5.97013e-06
353	0.05	0.05	0.559673	0.0195806	-447.489	7.56216e-07
354	0.05	0.05	0.559673	0.0195806	-447.489	1.95332e-10
355	0.05	0.05	0.559673	0.0195806	-447.489	2.46822e-35
356	0.05	0.05	0.559673	0.0195806	-447.489	4.28781e-17
357	0.05	0.05	0.559673	0.0195806	-447.489	3.18976e-14
358	0.05	0.05	0.559673	0.0195806	-447.489	1.41556e-10
359	0.05	0.05	0.559673	0.0195806	-447.489	4.03005e-23
360	0.05	0.05	0.559673	0.0195806	-447.489	1.32435e-24
361	0.05	0.05	0.620494	0.00685833	-451.108	0.0268074
362	0.05	0.05	0.620494	0.00685833	-451.108	2.11834e-29
363	0.05	0.05	0.620494	0.00685833	-451.108	1.05622e-36
364	0.05	0.05	0.620494	0.00685833	-451.108	3.14241e-07
365	0.05	0.05	0.620494	0.00685833	-451.108	3.04931e-46
366	0.05	0.05	0.620494	0.00685833	-451.108	1.50429e-12
367	0.05	0.05	0.620494	0.00685833	-451.108	6.98047e-14
368	0.05	0.05	0.620494	0.00685833	-451.108	1.5544e-14
369	0.05	0.05	0.620494	0.00685833	-451.108	5.19557e-17
370	0.05	0.05	0.620494	0.00685833	-451.108	3.69628e-14
371	0.05	0.05	0.620494	0.00685833	-451.108	1.80371e-20
