iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
0	0.05	0.05	0.193958	0.133761	-457.716	290858
1	0.05	0.05	0.218446	0.138483	-455.112	4.91068
2	0.05	0.05	0.218446	0.138483	-459.986	0.0594902
3	0.05	0.05	0.26223	0.138617	-462.474	37.1281
4	0.05	0.05	0.26223	0.138617	-457.762	5.76671e-06
5	0.05	0.05	0.26223	0.138617	-454.818	0.00213302
6	0.05	0.05	0.225146	0.134842	-451.626	1609.61
7	0.05	0.05	0.225146	0.134842	-456.248	2.99823e-05
8	0.05	0.05	0.271213	0.137134	-457.086	76.4592
9	0.05	0.05	0.271213	0.137134	-457.94	0.044798
10	0.05	0.05	0.320079	0.137874	-452.456	2.06431e+06
11	0.05	0.05	0.328153	0.1391	-458.069	20.676
12	0.05	0.05	0.328153	0.1391	-459.336	0.00111381
13	0.05	0.05	0.328153	0.1391	-464.127	0.000783158
14	0.05	0.05	0.328153	0.1391	-451.633	2.666e-10
15	0.05	0.05	0.328153	0.1391	-454.302	7.02154e-06
16	0.05	0.05	0.322445	0.140309	-445.7	1.26786e+11
17	0.05	0.05	0.322445	0.140309	-459.104	2.43195e-08
18	0.05	0.05	0.363056	0.142379	-453.898	11.3668
19	0.05	0.05	0.363056	0.142379	-468.677	0.14937
20	0.05	0.05	0.34261	0.1464	-459.282	12199.2
21	0.05	0.05	0.31425	0.145944	-459.136	1.34549e+08
22	0.05	0.05	0.275359	0.142573	-447.953	4.36431e+08
23	0.05	0.05	0.275359	0.142573	-459.11	5.39467e-06
24	0.05	0.05	0.289438	0.139093	-462.746	7922.01
25	0.05	0.05	0.289438	0.139093	-455.16	5.0319e-08
26	0.05	0.05	0.289438	0.139093	-464.265	0.000144936
27	0.05	0.05	0.289438	0.139093	-454.779	0.0041606
28	0.05	0.05	0.32231	0.138298	-461.164	135000
29	0.05	0.05	0.286633	0.133445	-467.386	7.67954e+07
30	0.05	0.05	0.286633	0.133445	-456.64	0.000291233
31	0.05	0.05	0.28739	0.135113	-457.589	0.224758
32	0.05	0.05	0.28739	0.135113	-473.265	0.165674
33	0.05	0.05	0.24319	0.134681	-449.724	2.5204
34	0.05	0.05	0.24319	0.134681	-456.386	0.00124777
35	0.05	0.05	0.24319	0.134681	-456.921	8.20085e-06
36	0.05	0.05	0.24319	0.134681	-471.597	0.0120928
37	0.05	0.05	0.24319	0.134681	-446.872	1.35299e-11
38	0.05	0.05	0.24319	0.134681	-457.875	5.75866e-06
39	0.05	0.05	0.251625	0.131876	-452.479	1.44872e+14
40	0.05	0.05	0.249554	0.133259	-459.782	72.7402
41	0.05	0.05	0.293991	0.131342	-454.744	30631.6
42	0.05	0.05	0.293991	0.131342	-461.076	1.83152e-06
43	0.05	0.05	0.293991	0.131342	-460.614	0.000977676
44	0.05	0.05	0.292642	0.132953	-462.38	3464.25
45	0.05	0.05	0.254342	0.136751	-471.736	19519.2
46	0.05	0.05	0.254342	0.136751	-466.408	0.218561
47	0.05	0.05	0.254342	0.136751	-459.111	4.39346e-05
48	0.05	0.05	0.207224	0.140764	-453.59	46.5336
49	0.05	0.05	0.207224	0.140764	-451.887	0.00643634
50	0.05	0.05	0.207224	0.140764	-446.036	8.20441e-10
51	0.05	0.05	0.184313	0.135864	-461.177	96493.6
52	0.05	0.05	0.184313	0.135864	-460.018	5.50923e-06
53	0.05	0.05	0.215957	0.132448	-463.97	19.5463
54	0.05	0.05	0.213683	0.13468	-463.637	51.3505
55	0.05	0.05	0.229429	0.130251	-457.932	3.45868e+10
56	0.05	0.05	0.190825	0.132732	-463.46	38906.6
57	0.05	0.05	0.205624	0.129631	-453.235	35679.1
58	0.05	0.05	0.205624	0.129631	-457.246	0.789087
59	0.05	0.05	0.205624	0.129631	-455.129	2.46875e-07
60	0.05	0.05	0.205624	0.129631	-457.913	2.9873e-07
61	0.05	0.05	0.205624	0.129631	-452.542	1.17562e-05
62	0.05	0.05	0.194119	0.132756	-450.717	154.892
63	0.05	0.05	0.194119	0.132756	-459.477	0.00146827
