iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
99	0.01	0.01	0.0546519	0.163277	-62.1603	1.00993
100	0.01	0.01	0.0770166	0.150668	-60.5014	0.973313
101	0.01	0.01	0.0945006	0.152608	-62.4999	1.03303
102	0.01	0.01	0.0779767	0.154114	-61.8336	0.989339
103	0.01	0.01	0.104571	0.157732	-61.8233	0.999834
104	0.01	0.01	0.0998907	0.143959	-60.4111	0.977157
105	0.01	0.01	0.104162	0.138493	-61.9361	1.02524
106	0.01	0.01	0.10711	0.128454	-59.8587	0.966459
107	0.01	0.01	0.090402	0.13701	-59.4708	0.99352
108	0.01	0.01	0.092577	0.137728	-60.5365	1.01792
109	0.01	0.01	0.0891641	0.131406	-59.2312	0.978438
110	0.01	0.01	0.102908	0.119536	-58.5464	0.988438
111	0.01	0.01	0.0977678	0.111171	-58.7015	1.00265
112	0.01	0.01	0.102604	0.0979254	-55.9283	0.952757
113	0.01	0.01	0.0945979	0.0781289	-54.9406	0.98234
114	0.01	0.01	0.0865463	0.0695454	-54.0388	0.983587
115	0.01	0.01	0.0869638	0.065178	-54.9523	1.0169
116	0.01	0.01	0.0861912	0.0683761	-55.0256	1.00133
117	0.01	0.01	0.090172	0.0771654	-53.674	0.975436
118	0.01	0.01	0.0949225	0.0840934	-54.9067	1.02297
119	0.01	0.01	0.0953967	0.0683351	-53.6523	0.977155
120	0.01	0.01	0.0903056	0.0707175	-54.3212	1.01247
121	0.01	0.01	0.0737828	0.0633603	-53.4763	0.984446
122	0.01	0.01	0.0662163	0.0529809	-54.0167	1.01011
123	0.01	0.01	0.0583979	0.0450528	-53.3246	0.987188
124	0.01	0.01	0.0573596	0.0538214	-54.1916	1.01626
125	0.01	0.01	0.0487387	0.0590223	-52.6192	0.970985
126	0.01	0.01	0.0680103	0.0700991	-54.1558	1.0292
127	0.01	0.01	0.0805589	0.0929782	-57.8415	1.06806
128	0.01	0.01	0.0789232	0.0864482	-54.9628	0.950231
129	0.01	0.01	0.098941	0.0932248	-55.9532	1.01802
130	0.01	0.01	0.0827682	0.101955	-57.4606	1.02694
131	0.01	0.01	0.0787019	0.102872	-56.6893	0.986578
132	0.01	0.01	0.0867183	0.125173	-60.5534	1.06816
133	0.01	0.01	0.0913828	0.133137	-59.2235	0.978037
