iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
0	0.05	0.05	0	2.6934	-120.137	0.93535
1	0.05	0.05	0	3.33765	-136.754	1.13832
2	0.05	0.05	0	3.4532	-125.213	0.915608
3	0.05	0.05	0	4.54486	-138.723	1.10789
4	0.05	0.05	0	4.28508	-135.072	0.973686
5	0.05	0.05	0	2.27391	-127.275	0.942274
6	0.05	0.05	0	1.81875	-114.307	0.898111
7	0.05	0.05	0	2.88164	-128.796	1.12676
8	0.05	0.05	0	3.43362	-133.99	1.04032
9	0.05	0.05	0	4.25804	-150.292	1.12167
10	0.05	0.05	0	4.44024	-142.698	0.94947
11	0.05	0.05	0	6.24887	-150.131	1.05209
12	0.05	0.05	0	3.41878	-132.554	0.88292
13	0.05	0.05	0	3.33289	-128.598	0.970154
14	0.05	0.05	0	2.88539	-127.962	0.995059
15	0.05	0.05	0	2.62004	-121.513	0.949596
16	0.05	0.05	0	3.72925	-131.575	1.08281
17	0.05	0.05	0	3.97902	-141.333	1.07417
18	0.05	0.05	0	5.75839	-150.148	1.06236
19	0.05	0.05	0	4.2365	-282.005	1.87818
20	0.05	0.05	0	3.6241	-132.031	0.468186
21	0.05	0.05	0	2.09056	-121.683	0.921628
22	0.05	0.05	0	0.647001	-93.115	0.765225
23	0.05	0.05	0	0.673743	-96.8716	1.04034
24	0.05	0.05	0	1.87972	-121.549	1.25474
25	0.05	0.05	0	1.62066	-114.342	0.940705
26	0.05	0.05	0	3.56243	-139.138	1.21686
27	0.05	0.05	0	4.288	-144.234	1.03663
28	0.05	0.05	0	5.28779	-142.22	0.986036
29	0.05	0.05	0	4.01503	-143.261	1.00732
30	0.05	0.05	0	2.99	-124.753	0.87081
31	0.05	0.05	0	4.07175	-129.878	1.04108
32	0.05	0.05	0	3.43638	-135.153	1.04062
33	0.05	0.05	0	3.02575	-133.716	0.989364
34	0.05	0.05	0	2.75097	-131.626	0.984368
35	0.05	0.05	0	2.75097	-131.626	0.793916
36	0.05	0.05	0	0.779295	-92.8298	0.705256
37	0.05	0.05	0	0.571626	-96.893	1.04377
38	0.05	0.05	0	1.22705	-109.633	1.13148
39	0.05	0.05	0	1.44459	-109.615	0.999837
40	0.05	0.05	0	1.44459	-109.615	0.912967
41	0.05	0.05	0	1.44459	-109.615	0.763171
42	0.05	0.05	0	1.44459	-109.615	0.728299
43	0.05	0.05	0	0.735008	-98.171	0.895598
44	0.05	0.05	0	0.735008	-98.171	0.853335
45	0.05	0.05	0	0.0226489	-82.8169	0.843599
