iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
0	0.05	0.05	0	1.43057	-109.984	0.991373
1	0.05	0.05	0	1.39754	-110.155	1.00156
2	0.05	0.05	0	0.48175	-91.5554	0.831152
3	0.05	0.05	0	0.323733	-83.6576	0.913738
4	0.05	0.05	0	1.51844	-109.753	1.31193
5	0.05	0.05	0	1.34932	-108.126	0.98518
6	0.05	0.05	0	1.64403	-111.369	1.02999
7	0.05	0.05	0	1.45194	-114.482	1.02796
8	0.05	0.05	0	1.12494	-109.17	0.9536
9	0.05	0.05	0	0.371616	-89.3918	0.818828
10	0.05	0.05	0	0	-83.4488	0.933518
11	0.05	0.05	0	0.0568928	-82.0249	0.982938
12	0.05	0.05	0	0	-84.8873	1.0349
13	0.05	0.05	0	0.0382411	-82.5246	0.972166
14	0.05	0.05	0	0	-85.6137	1.03743
15	0.05	0.05	0	0.0516857	-81.6938	0.954214
16	0.05	0.05	0	0.894852	-95.8069	1.17276
17	0.05	0.05	0	2.57264	-125.183	1.30662
18	0.05	0.05	0	1.54621	-105.775	0.844964
19	0.05	0.05	0	3.24366	-131.428	1.24252
20	0.05	0.05	0	2.98537	-129.767	0.987358
21	0.05	0.05	0	3.17994	-131.635	1.0144
22	0.05	0.05	0	3.17994	-131.635	0.925993
23	0.05	0.05	0	3.34736	-134.91	1.02488
24	0.05	0.05	0	2.01735	-124.209	0.920679
25	0.05	0.05	0	1.41375	-107.032	0.861709
26	0.05	0.05	0	0.681957	-95.1904	0.889364
27	0.05	0.05	0	0.86249	-97.781	1.02722
28	0.05	0.05	0	1.71506	-125.194	1.28035
29	0.05	0.05	0	2.77881	-141.361	1.12914
30	0.05	0.05	0	4.85973	-147.219	1.04144
31	0.05	0.05	0	3.63069	-275.683	1.87261
32	0.05	0.05	0	2.53456	-270.393	0.98081
33	0.05	0.05	0	1.31957	-109.474	0.404871
34	0.05	0.05	0	1.29805	-105.77	0.966161
35	0.05	0.05	0	0.729411	-94.1677	0.890308
36	0.05	0.05	0	2.44896	-116.523	1.2374
37	0.05	0.05	0	3.63875	-133.484	1.14556
38	0.05	0.05	0	4.23712	-142.421	1.06695
39	0.05	0.05	0	3.93704	-139.715	0.980996
40	0.05	0.05	0	5.316	-154.801	1.10798
41	0.05	0.05	0	5.79607	-281.389	1.81775
42	0.05	0.05	0	6.91337	-274.656	0.976072
43	0.05	0.05	0	7.67941	-312.714	1.13857
44	0.05	0.05	0	7.67941	-312.714	0.479964
45	0.05	0.05	0	6.2334	-286.404	0.915867
46	0.05	0.05	0	7.1602	-153.698	0.536648
47	0.05	0.05	0	8.28747	-152.626	0.993024
48	0.05	0.05	0	7.60561	-151.411	0.99204
49	0.05	0.05	0	8.8927	-303.687	2.00571
50	0.05	0.05	0	10	-302.025	0.994526
51	0.05	0.05	0	10	-302.025	0.524071
52	0.05	0.05	0	9.99348	-297.064	0.983575
53	0.05	0.05	0	9.99348	-297.064	0.559664
54	0.05	0.05	0	10	-329.4	1.10885
55	0.05	0.05	0	10	-329.4	0.479904
56	0.05	0.05	0	10	-300.839	0.913295
57	0.05	0.05	0	10	-300.839	0.516901
58	0.05	0.05	0	7.61272	-160.316	0.532898
59	0.05	0.05	0	8.53763	-299.652	1.86913
60	0.05	0.05	0	10	-291.537	0.972917
61	0.05	0.05	0	9.77418	-296.574	1.01728
62	0.05	0.05	0	10	-295.491	0.996348
63	0.05	0.05	0	10	-295.491	0.523113
64	0.05	0.05	0	8.88359	-157.788	0.533986
65	0.05	0.05	0	9.56353	-298.495	1.89175
66	0.05	0.05	0	9.56353	-298.495	0.569951
67	0.05	0.05	0	10	-165.616	0.554837
68	0.05	0.05	0	10	-197.834	1.19453
69	0.05	0.05	0	10	-161.147	0.81456
70	0.05	0.05	0	9.09251	-155.708	0.966246
71	0.05	0.05	0	7.73629	-189.688	1.21823
72	0.05	0.05	0	7.15542	-191.77	1.01098
73	0.05	0.05	0	5.13401	-143.498	0.748282
74	0.05	0.05	0	5.22164	-144.505	1.00702
75	0.05	0.05	0	4.96448	-146.138	1.0113
76	0.05	0.05	0	7.31116	-154.302	1.05587
77	0.05	0.05	0	8.99968	-296.588	1.92213
78	0.05	0.05	0	10	-296.577	0.999963
79	0.05	0.05	0	10	-159.17	0.536689
80	0.05	0.05	0	10	-161.701	1.01591
81	0.05	0.05	0	10	-302.833	1.87279
82	0.05	0.05	0	10	-301.09	0.994244
83	0.05	0.05	0	9.4708	-157.715	0.523813
84	0.05	0.05	0	7.37915	-290.969	1.84491
