iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
0	0.05	0.05	0	5.29312	-141.847	1.04675
1	0.05	0.05	0	5.78426	-145.042	1.02252
2	0.05	0.05	0	5.8082	-152.827	1.05367
3	0.05	0.05	0	6.18782	-148.035	0.968642
4	0.05	0.05	0	6.69506	-161.208	1.08899
5	0.05	0.05	0	7.66465	-195.466	1.21251
6	0.05	0.05	0	7.66101	-161.77	0.827614
7	0.05	0.05	0	7.61003	-152.125	0.94038
8	0.05	0.05	0	7.17014	-146.935	0.965878
9	0.05	0.05	0	5.07018	-147.27	1.00228
10	0.05	0.05	0	4.26537	-151.125	1.02618
11	0.05	0.05	0	4.94899	-139.314	0.92184
12	0.05	0.05	0	4.90244	-144.751	1.03903
13	0.05	0.05	0	4.33196	-147.352	1.01797
14	0.05	0.05	0	3.87196	-140.644	0.954474
15	0.05	0.05	0	3.26244	-131.636	0.93595
16	0.05	0.05	0	2.74794	-131.264	0.997179
17	0.05	0.05	0	3.33452	-144.806	1.10316
18	0.05	0.05	0	4.30661	-136.796	0.944681
19	0.05	0.05	0	4.52185	-279.498	2.04318
20	0.05	0.05	0	3.0779	-126.699	0.45331
21	0.05	0.05	0	3.34896	-129.116	1.01908
22	0.05	0.05	0	5.75677	-183.651	1.42237
23	0.05	0.05	0	5.95406	-149.744	0.815374
24	0.05	0.05	0	4.47984	-148.671	0.992834
25	0.05	0.05	0	4.8868	-280.98	1.88994
26	0.05	0.05	0	4.8868	-280.98	0.526308
27	0.05	0.05	0	4.8868	-280.98	0.50264
28	0.05	0.05	0	4.8868	-280.98	0.467594
29	0.05	0.05	0	4.8868	-280.98	0.491483
30	0.05	0.05	0	5.61001	-154.787	0.550884
31	0.05	0.05	0	5.787	-146.309	0.945224
32	0.05	0.05	0	7.08009	-153.399	1.04846
33	0.05	0.05	0	6.75731	-153.636	1.00154
34	0.05	0.05	0	6.40912	-148.881	0.969051
35	0.05	0.05	0	6.84708	-152.119	1.02175
36	0.05	0.05	0	6.34897	-157.148	1.03307
37	0.05	0.05	0	5.54126	-290.213	1.84674
38	0.05	0.05	0	4.94776	-141.279	0.48681
39	0.05	0.05	0	4.68611	-278.078	1.96829
40	0.05	0.05	0	5.87935	-286.565	1.03052
41	0.05	0.05	0	5.87935	-286.565	0.509276
42	0.05	0.05	0	5.87935	-286.565	0.574246
43	0.05	0.05	0	7.28891	-155.606	0.543006
44	0.05	0.05	0	8.22694	-153.108	0.983947
45	0.05	0.05	0	6.52737	-148.162	0.967691
46	0.05	0.05	0	6.31946	-146.321	0.987579
47	0.05	0.05	0	5.77421	-163.71	1.11884
48	0.05	0.05	0	6.09227	-279.176	1.70531
49	0.05	0.05	0	7.11014	-290.369	1.04009
50	0.05	0.05	0	7.95392	-300.576	1.03515
51	0.05	0.05	0	7.95392	-300.576	0.547655
52	0.05	0.05	0	7.77724	-152.882	0.508629
53	0.05	0.05	0	7.639	-155.554	1.01748
54	0.05	0.05	0	6.66115	-150.937	0.970319
55	0.05	0.05	0	6.11072	-153.229	1.01519
56	0.05	0.05	0	4.67044	-142.732	0.931496
57	0.05	0.05	0	6.43892	-160.74	1.12616
58	0.05	0.05	0	6.61124	-153.891	0.957392
59	0.05	0.05	0	4.27451	-278.261	1.80817
60	0.05	0.05	0	4.27451	-278.261	0.402113
61	0.05	0.05	0	3.5686	-134.922	0.484877
62	0.05	0.05	0	1.95829	-114.412	0.847983
63	0.05	0.05	0	2.7526	-126.383	1.10463
64	0.05	0.05	0	0.970859	-105.497	0.834741
65	0.05	0.05	0	0.235863	-84.7481	0.803325
66	0.05	0.05	0	0	-83.4072	0.984178
67	0.05	0.05	0	0	-83.6183	1.00253
68	0.05	0.05	0	0	-82.58	0.987584
69	0.05	0.05	0	0	-84.7002	1.02567
70	0.05	0.05	0	0	-84.1024	0.992942
71	0.05	0.05	0	0	-86.0371	1.023
72	0.05	0.05	0	0	-82.4457	0.958259
73	0.05	0.05	0	0	-85.1714	1.03306
74	0.05	0.05	0	0.676481	-95.8114	1.12492
75	0.05	0.05	0	0.99267	-106.751	1.11418
76	0.05	0.05	0	0	-85.321	0.799249
77	0.05	0.05	0	0.732226	-98.6055	1.1557
78	0.05	0.05	0	0.732226	-98.6055	0.841431
79	0.05	0.05	0	0.188845	-81.9194	0.830779
80	0.05	0.05	0	0	-81.3255	0.99275
81	0.05	0.05	0	1.17066	-104.725	1.28773
82	0.05	0.05	0	0.606615	-93.831	0.895975
83	0.05	0.05	0	0.570755	-95.8861	1.0219
84	0.05	0.05	0	1.75406	-116.32	1.21311
85	0.05	0.05	0	1.11277	-103.745	0.891889
86	0.05	0.05	0	1.80503	-114.242	1.10119
87	0.05	0.05	0	3.3398	-132.323	1.15826
88	0.05	0.05	0	6.23052	-157.668	1.19155
89	0.05	0.05	0	6.44612	-151.907	0.963458
90	0.05	0.05	0	7.00614	-163.987	1.07952
91	0.05	0.05	0	5.04264	-143.707	0.876334
92	0.05	0.05	0	3.78257	-132.865	0.92455
93	0.05	0.05	0	3.78257	-132.865	0.954573
94	0.05	0.05	0	2.46434	-121.5	0.914464
95	0.05	0.05	0	5.20119	-143.754	1.18316
96	0.05	0.05	0	4.97927	-281.66	1.95933
97	0.05	0.05	0	4.97927	-281.66	0.521866
98	0.05	0.05	0	4.83214	-147.388	0.523284
99	0.05	0.05	0	4.62269	-148.019	1.00428
100	0.05	0.05	0	4.76945	-140.925	0.952078
101	0.05	0.05	0	3.82818	-279.177	1.98103
102	0.05	0.05	0	4.48287	-138.13	0.494776
103	0.05	0.05	0	6.46256	-164.581	1.19149
104	0.05	0.05	0	6.63949	-290.127	1.76282
105	0.05	0.05	0	6.63949	-290.127	0.499296
106	0.05	0.05	0	6.56132	-159.263	0.548942
107	0.05	0.05	0	7.36401	-292.826	1.83864
108	0.05	0.05	0	7.36401	-292.826	0.565685
109	0.05	0.05	0	8.76385	-172.304	0.588416
110	0.05	0.05	0	7.08362	-153.243	0.889375
111	0.05	0.05	0	6.12532	-282.228	1.84171
112	0.05	0.05	0	7.88012	-161.446	0.572041
113	0.05	0.05	0	10	-293.253	1.81641
114	0.05	0.05	0	10	-413.827	1.41116
115	0.05	0.05	0	9.38684	-152.951	0.3696
116	0.05	0.05	0	10	-163.291	1.0676
117	0.05	0.05	0	8.22855	-165.577	1.014
118	0.05	0.05	0	7.13264	-322.645	1.9486
119	0.05	0.05	0	7.13264	-322.645	0.434959
120	0.05	0.05	0	8.20431	-161.508	0.500577
121	0.05	0.05	0	8.28205	-282.067	1.74646
122	0.05	0.05	0	8.28205	-282.067	0.564928
123	0.05	0.05	0	8.43026	-281.091	0.99654
124	0.05	0.05	0	8.43026	-281.091	0.537526
125	0.05	0.05	0	9.28511	-160.079	0.569493
126	0.05	0.05	0	9.04536	-167.776	1.04808
127	0.05	0.05	0	10	-294.619	1.75603
128	0.05	0.05	0	10	-296.372	1.00595
129	0.05	0.05	0	10	-164.643	0.555529
130	0.05	0.05	0	7.79279	-290.225	1.76275
131	0.05	0.05	0	5.79404	-160.79	0.554019
132	0.05	0.05	0	6.54572	-152.729	0.949864
133	0.05	0.05	0	6.36391	-278.078	1.82074
134	0.05	0.05	0	6.36391	-278.078	0.5548
135	0.05	0.05	0	4.53692	-148.406	0.533683
136	0.05	0.05	0	3.49419	-135.855	0.915432
137	0.05	0.05	0	3.75108	-138.214	1.01736
138	0.05	0.05	0	4.80813	-137.549	0.995186
139	0.05	0.05	0	3.22124	-131.725	0.957661
