site_year	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav	market_binomial	countMarket	totalMarket
CB_2010	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638	0.1	1	10
CB_2017	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875	0	0	10
CB_2018	0.0232964472403988	0.0711883056126302	0.905515247428877	0.06469668538	0.1	1	10
HS_2017	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251	0.2	2	10
MC_2010	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771	0.7	7	10
MC_2016	0.189959294558415	0.402801063089254	0.407239642352331	0.04088754947	0.1	1	10
MC_2017	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917	0.1	1	10
MC_2018	0.358126721923024	0.227761485830234	0.414111792381778	0.06739899363	0.2	2	10
NHS_2016	0.0697906281479341	0.146581266663387	0.783628105188679	0.04298967966	0.3	3	10
NHS_2017	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894	0.8	8	10
NHS_2018	0.15638575148645	0.141833568895922	0.701780679617628	0.06152105338	0.1	1	10
TC_2018	0.404295641275444	0.157855893901741	0.437848464984128	0.09923815456	0.2	2	10
