site.year	cleaner_ID	score_visitor	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav
CB_2010	CL01	9	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL02	17	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL03	3	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL04	16	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL05	11	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
MC_2010	CL04	18	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL03	18	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL01	18	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL07	18	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL08	17	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL09	10	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL05	17	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL02	18	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL06	18	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
MC_2010	CL10	5	0.229057591590689	0.254173663944281	0.51676874446503	0.2126077771
CB_2010	CL06	5	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL07	13	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL08	6	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL09	9	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2010	CL10	14	0.0778210115868522	0.0733960815840117	0.848782906626509	0.04255362638
CB_2017	CL01	13	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL02	10	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL03	4	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL04	15	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL05	10	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL06	9	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL07	10	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL08	6	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL09	12	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
CB_2017	CL10	1	0.0992063493988567	0.128428207416301	0.772365443238728	0.2021344875
NHS_2017	CL11	18	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL12	19	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL13	2	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL14	16	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL15	15	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL16	11	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL17	18	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL18	19	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL19	19	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
NHS_2017	CL20	18	0.283209710037653	0.155418961610433	0.561371328351914	0.3519282894
HS_2017	CL21	13	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL22	10	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL23	10	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL24	6	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL25	19	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL26	14	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL27	16	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL28	17	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL29	15	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
HS_2017	CL30	10	0.349689791468188	0.185536265040507	0.464773943659296	0.1755231251
MC_2017	CL31	16	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL32	10	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL33	10	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL34	10	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL35	12	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL36	11	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL37	13	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL38	10	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL39	6	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
MC_2017	CL40	13	0.338409475574394	0.325671067101955	0.335919457323651	0.09422209917
NHS_2018	CL01	13	0.15638575148645	0.141833568895922	0.701780679617628	0.06152105338
NHS_2018	CL02	14	0.15638575148645	0.141833568895922	0.701780679617628	0.06152105338
