site_year	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav	market_binomial	countMarket	totalMarket
CB_2010	0.0389105057934261	0.0764929626597818	0.884596531335616	0.04255362638	0.1	1	10
CB_2017	0.0496031746994284	0.135500245284856	0.814896580072569	0.2021344875	0	0	10
CB_2018	0.0116482236201994	0.0720373015035288	0.916314475161539	0.06469668538	0.1	1	10
HS_2017	0.174844895734094	0.235420256542255	0.589734847936809	0.1755231251	0.2	2	10
MC_2010	0.114528795795344	0.291932909429936	0.593538294774719	0.2126077771	0.7	7	10
MC_2016	0.0949796472792077	0.450030668513899	0.454989684206894	0.04088754947	0.1	1	10
MC_2017	0.169204737787197	0.408962900160938	0.421832362051865	0.09422209917	0.1	1	10
MC_2018	0.179063360961512	0.291300097801331	0.529636541409864	0.06739899363	0.2	2	10
NHS_2016	0.034895314073967	0.152080028009335	0.813024657916698	0.04298967966	0.3	3	10
NHS_2017	0.141604855018827	0.186122613479348	0.672272531501826	0.3519282894	0.8	8	10
NHS_2018	0.0781928757432249	0.154979831715023	0.766827292541753	0.06152105338	0.1	1	10
TC_2018	0.202147820637722	0.211423111364071	0.58642906821426	0.09923815456	0.2	2	10
